minute,stock_days,coverage_vs_maximum,expected
09:31,881187,1.0,True
09:32,881187,1.0,True
09:33,881187,1.0,True
09:34,881187,1.0,True
09:35,881187,1.0,True
09:36,881187,1.0,True
09:37,881187,1.0,True
09:38,881187,1.0,True
09:39,881187,1.0,True
09:40,881187,1.0,True
09:41,881187,1.0,True
09:42,881187,1.0,True
09:43,881187,1.0,True
09:44,881187,1.0,True
09:45,881187,1.0,True
09:46,881187,1.0,True
09:47,881187,1.0,True
09:48,881187,1.0,True
09:49,881187,1.0,True
09:50,881187,1.0,True
09:51,881187,1.0,True
09:52,881187,1.0,True
09:53,881187,1.0,True
09:54,881187,1.0,True
09:55,881187,1.0,True
09:56,881187,1.0,True
09:57,881187,1.0,True
09:58,881187,1.0,True
09:59,881187,1.0,True
10:00,881187,1.0,True
10:01,881187,1.0,True
10:02,881187,1.0,True
10:03,881187,1.0,True
10:04,881187,1.0,True
10:05,881187,1.0,True
10:06,881187,1.0,True
10:07,881187,1.0,True
10:08,881187,1.0,True
10:09,881187,1.0,True
10:10,881187,1.0,True
10:11,881187,1.0,True
10:12,881187,1.0,True
10:13,881187,1.0,True
10:14,881187,1.0,True
10:15,881187,1.0,True
10:16,881187,1.0,True
10:17,881187,1.0,True
10:18,881187,1.0,True
10:19,881187,1.0,True
10:20,881187,1.0,True
10:21,881187,1.0,True
10:22,881187,1.0,True
10:23,881187,1.0,True
10:24,881187,1.0,True
10:25,881187,1.0,True
10:26,881187,1.0,True
10:27,881187,1.0,True
10:28,881187,1.0,True
10:29,881187,1.0,True
10:30,881187,1.0,True
10:31,881187,1.0,True
10:32,881187,1.0,True
10:33,881187,1.0,True
10:34,881187,1.0,True
10:35,881187,1.0,True
10:36,881187,1.0,True
10:37,881187,1.0,True
10:38,881187,1.0,True
10:39,881187,1.0,True
10:40,881187,1.0,True
10:41,881187,1.0,True
10:42,881187,1.0,True
10:43,881187,1.0,True
10:44,881187,1.0,True
10:45,881187,1.0,True
10:46,881187,1.0,True
10:47,881187,1.0,True
10:48,881187,1.0,True
10:49,881187,1.0,True
10:50,881187,1.0,True
10:51,881187,1.0,True
10:52,881187,1.0,True
10:53,881187,1.0,True
10:54,881187,1.0,True
10:55,881187,1.0,True
10:56,881187,1.0,True
10:57,881187,1.0,True
10:58,881187,1.0,True
10:59,881187,1.0,True
11:00,881187,1.0,True
11:01,881187,1.0,True
11:02,881187,1.0,True
11:03,881187,1.0,True
11:04,881187,1.0,True
11:05,881187,1.0,True
11:06,881187,1.0,True
11:07,881187,1.0,True
11:08,881187,1.0,True
11:09,881187,1.0,True
11:10,881187,1.0,True
11:11,881187,1.0,True
11:12,881187,1.0,True
11:13,881187,1.0,True
11:14,881187,1.0,True
11:15,881187,1.0,True
11:16,881187,1.0,True
11:17,881187,1.0,True
11:18,881187,1.0,True
11:19,881187,1.0,True
11:20,881187,1.0,True
11:21,881187,1.0,True
11:22,881187,1.0,True
11:23,881187,1.0,True
11:24,881187,1.0,True
11:25,881187,1.0,True
11:26,881187,1.0,True
11:27,881187,1.0,True
11:28,881187,1.0,True
11:29,881187,1.0,True
11:30,881187,1.0,True
13:01,881187,1.0,True
13:02,881187,1.0,True
13:03,881187,1.0,True
13:04,881187,1.0,True
13:05,881187,1.0,True
13:06,881187,1.0,True
13:07,881187,1.0,True
13:08,881187,1.0,True
13:09,881187,1.0,True
13:10,881187,1.0,True
13:11,881187,1.0,True
13:12,881187,1.0,True
13:13,881187,1.0,True
13:14,881187,1.0,True
13:15,881187,1.0,True
13:16,881187,1.0,True
13:17,881187,1.0,True
13:18,881187,1.0,True
13:19,881187,1.0,True
13:20,881187,1.0,True
13:21,881187,1.0,True
13:22,881187,1.0,True
13:23,881187,1.0,True
13:24,881187,1.0,True
13:25,881187,1.0,True
13:26,881187,1.0,True
13:27,881187,1.0,True
13:28,881187,1.0,True
13:29,881187,1.0,True
13:30,881187,1.0,True
13:31,881187,1.0,True
13:32,881187,1.0,True
13:33,881187,1.0,True
13:34,881187,1.0,True
13:35,881187,1.0,True
13:36,881187,1.0,True
13:37,881187,1.0,True
13:38,881187,1.0,True
13:39,881187,1.0,True
13:40,881187,1.0,True
13:41,881187,1.0,True
13:42,881187,1.0,True
13:43,881187,1.0,True
13:44,881187,1.0,True
13:45,881187,1.0,True
13:46,881187,1.0,True
13:47,881187,1.0,True
13:48,881187,1.0,True
13:49,881187,1.0,True
13:50,881187,1.0,True
13:51,881187,1.0,True
13:52,881187,1.0,True
13:53,881187,1.0,True
13:54,881187,1.0,True
13:55,881187,1.0,True
13:56,881187,1.0,True
13:57,881187,1.0,True
13:58,881187,1.0,True
13:59,881187,1.0,True
14:00,881187,1.0,True
14:01,881187,1.0,True
14:02,881187,1.0,True
14:03,881187,1.0,True
14:04,881187,1.0,True
14:05,881187,1.0,True
14:06,881187,1.0,True
14:07,881187,1.0,True
14:08,881187,1.0,True
14:09,881187,1.0,True
14:10,881187,1.0,True
14:11,881187,1.0,True
14:12,881187,1.0,True
14:13,881187,1.0,True
14:14,881187,1.0,True
14:15,881187,1.0,True
14:16,881187,1.0,True
14:17,881187,1.0,True
14:18,881187,1.0,True
14:19,881187,1.0,True
14:20,881187,1.0,True
14:21,881187,1.0,True
14:22,881187,1.0,True
14:23,881187,1.0,True
14:24,881187,1.0,True
14:25,881187,1.0,True
14:26,881187,1.0,True
14:27,881187,1.0,True
14:28,881187,1.0,True
14:29,881187,1.0,True
14:30,881187,1.0,True
14:31,881187,1.0,True
14:32,881187,1.0,True
14:33,881187,1.0,True
14:34,881187,1.0,True
14:35,881187,1.0,True
14:36,881187,1.0,True
14:37,881187,1.0,True
14:38,881187,1.0,True
14:39,881187,1.0,True
14:40,881187,1.0,True
14:41,881187,1.0,True
14:42,881187,1.0,True
14:43,881187,1.0,True
14:44,881187,1.0,True
14:45,881187,1.0,True
14:46,881187,1.0,True
14:47,881187,1.0,True
14:48,881187,1.0,True
14:49,881187,1.0,True
14:50,881187,1.0,True
14:51,881187,1.0,True
14:52,881187,1.0,True
14:53,881187,1.0,True
14:54,881187,1.0,True
14:55,881187,1.0,True
14:56,881187,1.0,True
14:57,881187,1.0,True
14:58,881187,1.0,True
14:59,881187,1.0,True
15:00,881187,1.0,True
