date,neutral_rank_ic
2024-01-02,0.08131086439864985
2024-01-03,-0.011739236921177546
2024-01-04,0.038866843030784755
2024-01-05,0.04112647037924261
2024-01-08,0.03178985470542997
2024-01-09,0.011649053163888196
2024-01-10,0.02534852223086137
2024-01-11,0.03295494431213896
2024-01-12,0.03222437719920081
2024-01-15,-0.0370743462149595
2024-01-16,-0.02764419671159543
2024-01-17,0.03403500500371196
2024-01-18,0.05033111010562327
2024-01-19,0.012994710571117667
2024-01-22,0.05580086976635184
2024-01-23,-0.0010494931044777167
2024-01-24,0.06051369573267691
2024-01-25,0.0982524748391353
2024-01-26,0.04624496054574208
2024-01-29,0.06258051936240992
2024-01-30,0.0539603587073755
2024-01-31,0.03255628968117668
2024-02-01,0.018666301644289174
2024-02-02,0.01853605019443347
2024-02-05,0.04798541647883595
2024-02-06,0.06980562200381334
2024-02-07,0.030347871287909698
2024-02-08,-0.036312096215994225
2024-02-19,0.003546657587410315
2024-02-20,-0.01872664580539522
2024-02-21,0.04927583930767739
2024-02-22,0.0715946329777991
2024-02-23,0.09196018252725377
2024-02-26,0.0348579251585483
2024-02-27,-0.012238296715590298
2024-02-28,0.017973636512845614
2024-02-29,0.047962125767775275
2024-03-01,-0.02146403333359163
2024-03-04,0.029184905878724375
2024-03-05,0.06600618774536422
2024-03-06,0.015144896271476633
2024-03-07,0.06445721018210063
2024-03-08,0.043711948565673314
2024-03-11,-0.04247957924464024
2024-03-12,0.0204497680608064
2024-03-13,0.08891341969133447
2024-03-14,0.05593479872736946
2024-03-15,0.007393928256011164
2024-03-18,0.09539092643981048
2024-03-19,0.0335870313313587
2024-03-20,0.05759968194293053
2024-03-21,-0.0404467399909793
2024-03-22,0.03323913033768857
2024-03-25,0.006114711813080298
2024-03-26,0.02051808405694042
2024-03-27,0.06477024494384677
2024-03-28,0.062432118569711315
2024-03-29,0.09575144778070722
2024-04-01,0.039387485083720426
2024-04-02,-0.0288093366041966
2024-04-03,0.05581096606288089
2024-04-08,0.0719913031578674
