minute,stock_days,coverage_vs_maximum,expected
09:31,1452626,1.0,True
09:32,1452626,1.0,True
09:33,1452626,1.0,True
09:34,1452626,1.0,True
09:35,1452626,1.0,True
09:36,1452626,1.0,True
09:37,1452626,1.0,True
09:38,1452626,1.0,True
09:39,1452626,1.0,True
09:40,1452626,1.0,True
09:41,1452626,1.0,True
09:42,1452626,1.0,True
09:43,1452626,1.0,True
09:44,1452626,1.0,True
09:45,1452626,1.0,True
09:46,1452626,1.0,True
09:47,1452626,1.0,True
09:48,1452626,1.0,True
09:49,1452626,1.0,True
09:50,1452626,1.0,True
09:51,1452626,1.0,True
09:52,1452626,1.0,True
09:53,1452626,1.0,True
09:54,1452626,1.0,True
09:55,1452626,1.0,True
09:56,1452626,1.0,True
09:57,1452626,1.0,True
09:58,1452626,1.0,True
09:59,1452626,1.0,True
10:00,1452626,1.0,True
10:01,1452626,1.0,True
10:02,1452626,1.0,True
10:03,1452626,1.0,True
10:04,1452626,1.0,True
10:05,1452626,1.0,True
10:06,1452626,1.0,True
10:07,1452626,1.0,True
10:08,1452626,1.0,True
10:09,1452626,1.0,True
10:10,1452626,1.0,True
10:11,1452626,1.0,True
10:12,1452626,1.0,True
10:13,1452626,1.0,True
10:14,1452626,1.0,True
10:15,1452626,1.0,True
10:16,1452626,1.0,True
10:17,1452626,1.0,True
10:18,1452626,1.0,True
10:19,1452626,1.0,True
10:20,1452626,1.0,True
10:21,1452626,1.0,True
10:22,1452626,1.0,True
10:23,1452626,1.0,True
10:24,1452626,1.0,True
10:25,1452626,1.0,True
10:26,1452626,1.0,True
10:27,1452626,1.0,True
10:28,1452626,1.0,True
10:29,1452626,1.0,True
10:30,1452626,1.0,True
10:31,1452626,1.0,True
10:32,1452626,1.0,True
10:33,1452626,1.0,True
10:34,1452626,1.0,True
10:35,1452626,1.0,True
10:36,1452626,1.0,True
10:37,1452626,1.0,True
10:38,1452626,1.0,True
10:39,1452626,1.0,True
10:40,1452626,1.0,True
10:41,1452626,1.0,True
10:42,1452626,1.0,True
10:43,1452626,1.0,True
10:44,1452626,1.0,True
10:45,1452626,1.0,True
10:46,1452626,1.0,True
10:47,1452626,1.0,True
10:48,1452626,1.0,True
10:49,1452626,1.0,True
10:50,1452626,1.0,True
10:51,1452626,1.0,True
10:52,1452626,1.0,True
10:53,1452626,1.0,True
10:54,1452626,1.0,True
10:55,1452626,1.0,True
