trade_date,instruments,minutes,zero_volume_rate,spread_floor_zero,resid_p5_incl_zero,resid_median_incl_zero,resid_p95_incl_zero,degenerate_rate_incl_zero,spearman_incl_zero,resid_p5_excl_zero,resid_median_excl_zero,resid_p95_excl_zero,degenerate_rate_excl_zero,spearman_excl_zero,implied_price_p5,implied_price_p50,implied_price_p95
2019-01-02,998,239520,0.059034736138944555,5,4.625388378710044,4.669180763544946,5.092475776305532,0.04934541792547835,0.9689802069246704,4.610433013770572,4.616306483063207,4.6368387402868585,0.004028197381671702,0.997069428856126,2.8508436697435915,7.379572647105755,30.94499990444403
2019-02-12,998,239520,0.027058283233132932,9,4.622310742961082,4.641008098431716,4.83937529176206,0.017189079878665317,0.9758669797095885,4.610385112194369,4.615561071115512,4.636327450229911,0.005055611729019211,0.9885626613429648,2.9749657958865035,7.550458453595997,32.333236869534275
2019-03-18,993,238320,0.010838368580060423,7,4.6238604329916075,4.638924536177779,4.706719181441764,0.009127789046653144,0.9915321542597202,4.613258537375874,4.621322891546656,4.6462433521810516,0.008113590263691683,0.9923916845077433,3.7415642489704752,9.582885810654666,38.733900482354585
2019-04-22,994,238560,0.01295271629778672,13,4.62561233738633,4.641236689684098,4.7315236273574195,0.0030581039755351682,0.9973621003374111,4.61370757134687,4.622336863985157,4.642191383667672,0.0010193679918450561,0.9997347149194231,3.896434190603722,10.495374583530339,39.909075372199965
2019-05-29,997,239280,0.04543212972250084,13,4.622618064698681,4.6506294740086815,5.020217555441522,0.03665987780040733,0.9659427033460547,4.609918806542345,4.614276806584397,4.632893324401585,0.0050916496945010185,0.9921318006800688,3.2095551663042206,8.90044253971333,33.873287655191305
2019-07-03,996,239040,0.02670264390896921,4,4.624081156256793,4.643182939319274,4.874646222252886,0.011088709677419355,0.9894592489738279,4.609974008539229,4.617143062178233,4.63594556937041,0.0020161290322580645,0.999312101278697,3.2866408055090734,8.964778291085935,36.09615535187561
2019-08-06,997,239280,0.023449515212303578,1,4.63059362705557,4.651023307601346,4.836106134663757,0.007028112449799197,0.9921921819180932,4.616138653026217,4.626079023276615,4.649069985803074,0.0030120481927710845,0.9987955689369318,2.840851204423083,7.934340435912037,33.26303248460601
2019-09-09,997,239280,0.01838014042126379,16,4.620879804590016,4.636826025880873,4.7624930582193015,0.007135575942915392,0.9831017701677465,4.609656478447507,4.616243160536439,4.637212298300985,0.007135575942915392,0.9857850575428041,3.155537729527582,8.987271868939754,41.34386465181789
2019-10-21,997,239280,0.046715145436308926,13,4.625610132031101,4.655366776624737,4.995194598316807,0.027439024390243903,0.968100038401723,4.61056861429422,4.616909448488012,4.638365873660742,0.007113821138211382,0.9868884002040927,2.959768460553289,8.284809424366749,39.17075899919126
2019-11-22,996,239040,0.04312248995983936,10,4.629425959456002,4.655368594389627,4.928065788045288,0.017241379310344827,0.9864104430984438,4.612296786689924,4.622050163268062,4.64486404964547,0.002028397565922921,0.9991501243753227,2.9142960659816888,8.21918098908739,38.41400001574208
