date,seed_20260801,seed_20260812,seed_20260823,seed_mean,year,age,block,stress
2022-01-04,-0.00042810209255931706,-0.009240539168523883,-0.001782505471462721,-0.003817048910848641,2022,1,1,True
2022-01-05,-0.0006344584351250627,-0.04028662731730709,0.01580885472373985,-0.008370743676230767,2022,2,1,False
2022-01-06,0.06675910177429151,0.06780372652175805,0.07938013114111642,0.07131431981238866,2022,3,1,True
2022-01-07,0.04308837837909649,0.08102678872921268,0.052102155366142884,0.05873910749148401,2022,4,1,False
2022-01-10,0.04066771455430544,-0.000339155758188672,0.01965433427333118,0.019994297689815983,2022,5,1,False
2022-01-11,0.028554468202481954,0.04459762673589165,0.06057509176184968,0.04457572890007442,2022,6,1,False
2022-01-12,0.002016433935053014,-0.009580264023592706,-0.020741308289522944,-0.009435046126020879,2022,7,1,False
2022-01-13,0.012392159610412882,-0.0014050510429990174,0.01762029930515485,0.009535802624189571,2022,8,1,True
2022-01-14,0.0337296107517715,0.02347383086155595,0.06434810429233016,0.040517181968552536,2022,9,1,True
2022-01-17,0.07369605000737856,0.07240954534399333,0.08682023498068928,0.07764194344402038,2022,10,1,True
2022-01-18,0.062076135559628286,0.05049242450451112,0.05537396371663822,0.055980841260259206,2022,11,1,True
2022-01-19,0.018650372029252186,-0.00604028557838351,0.023034923330608126,0.011881669927158936,2022,12,1,True
2022-01-20,0.031252475675756106,0.06168144969792921,0.05824457917635681,0.050392834850014036,2022,13,1,True
2022-01-21,0.08930205960640156,0.09462295064865699,0.0755711010053835,0.08649870375348068,2022,14,1,True
2022-01-24,0.030336612701548277,0.05000994274735252,0.05056669313880896,0.04363774952923658,2022,15,1,False
2022-01-25,0.10001897163595574,0.13050449521539056,0.09971732081389471,0.11008026255508034,2022,16,1,False
2022-01-26,0.07261113992098986,0.06103044480829041,0.08127325858989985,0.07163828110639338,2022,17,1,False
2022-01-27,0.09228358234722932,0.05731985803273512,0.050826704904062894,0.0668100484280091,2022,18,1,True
2022-01-28,0.04047645455227588,-0.005361086589277326,-0.008469501405048612,0.008881955519316647,2022,19,1,True
2022-02-07,-0.023814028502850405,-0.06753718468263431,-0.049653240021198204,-0.04700148440222764,2022,20,1,False
2022-02-08,0.03167812287139725,-0.00988844040282362,0.014257525694348632,0.01201573605430742,2022,21,1,False
2022-02-09,0.017965571395272998,-0.03706187010321939,-0.013487541138679124,-0.010861279948875173,2022,22,1,False
2022-02-10,-0.023377207566382247,-0.049651230839889406,-0.05309575490050717,-0.04204139776892627,2022,23,1,False
2022-02-11,0.0512663724409228,0.017997693497392955,0.01622601650160748,0.028496694146641077,2022,24,1,False
2022-02-14,0.04056160553931418,0.06656702118377696,0.08773296657336202,0.06495386443215105,2022,25,1,False
2022-02-15,0.06464216177945456,0.07870678539087424,0.08058970511184455,0.07464621742739112,2022,26,1,False
2022-02-16,0.041655653074551435,0.07089153418526485,0.05975825997008924,0.05743514907663518,2022,27,1,False
2022-02-17,0.04270095903661049,0.019225163963141462,0.030175892388384543,0.030700671796045496,2022,28,1,False
2022-02-18,-0.013804832811532561,-0.05904540813542536,-0.037042622975269404,-0.036630954640742446,2022,29,1,False
2022-02-21,0.023120980665042777,0.002924542049434262,0.000424795868079019,0.008823439527518686,2022,30,1,False
2022-02-22,-0.0007092223336730872,0.0425176168171957,0.03064690953683832,0.024151768006786978,2022,31,1,True
2022-02-23,0.03360446301917451,0.012781799676007956,0.044625581920682465,0.03033728153862164,2022,32,1,False
2022-02-24,0.10103859825041403,0.12027630573154124,0.11477516247669532,0.11203002215288353,2022,33,1,False
2022-02-25,0.07587529451309909,0.06938188646049896,0.07719868115994075,0.07415195404451293,2022,34,1,False
2022-02-28,0.05594122491308331,-0.012706215409643815,0.018371875102384434,0.020535628201941308,2022,35,1,False
2022-03-01,0.03466084946128998,0.018080905369547737,-0.00911047567883147,0.014543759717335417,2022,36,1,False
2022-03-02,0.023611618148781655,0.002933108492478956,-0.010237989059605039,0.005435579193885191,2022,37,1,False
2022-03-03,-0.0007504020475218824,0.03538756605978104,0.0007397200179261478,0.011792294676728434,2022,38,1,False
2022-03-04,0.0999516146146462,0.0355615746975139,0.05103858508581484,0.062183924799324976,2022,39,1,False
2022-03-07,0.030678000578448283,0.006313052930407708,0.024966727822917003,0.02065259377725766,2022,40,1,False
2022-03-08,0.0012441084353223962,-0.02141993413074727,-0.007273149784665857,-0.009149658493363575,2022,41,1,True
2022-03-09,0.07342134760535966,0.04191595910513443,0.09620992665168387,0.07051574445405932,2022,42,1,False
2022-03-10,0.04617762837028113,0.003650597388018796,0.02362590498658173,0.02448471024829389,2022,43,1,True
2022-03-11,0.003537074339872958,-0.02019298164940596,-0.019616314770964375,-0.012090740693499127,2022,44,1,False
2022-03-14,-0.04630397283860125,-0.08025040135151512,-0.05401000979168582,-0.06018812799393406,2022,45,1,True
2022-03-15,0.06961490419034165,0.07571878910224009,0.07317419178879092,0.07283596169379088,2022,46,1,True
2022-03-16,-0.022350201559592248,0.02577875548077678,0.020660685986144487,0.00802974663577634,2022,47,1,False
2022-03-17,0.060033761427270065,0.022028076063399765,0.03346923900126229,0.03851035883064404,2022,48,1,True
2022-03-18,0.023588375452892944,0.03666328957881418,0.02002729388796056,0.026759652973222563,2022,49,1,False
2022-03-21,0.0630459646692899,0.08347530884743379,0.04287075238137425,0.06313067529936597,2022,50,1,False
2022-03-22,0.058982175722732566,0.12623057403843482,0.11631669288333853,0.1005098142148353,2022,51,1,False
2022-03-23,0.038837718708838544,0.06153001348898578,0.04081414946946351,0.047060627222429284,2022,52,1,False
2022-03-24,0.09007192089607186,0.056160504687130894,0.07123044849711,0.07248762469343759,2022,53,1,False
2022-03-25,0.075345740567784,0.0181640463030374,0.028858410088806758,0.04078939898654272,2022,54,1,False
2022-03-28,0.0488937168151557,0.045027079030336585,0.055483405069347784,0.049801400304946696,2022,55,1,False
2022-03-29,0.07100209094087742,0.14485365597923297,0.1157765505177084,0.1105440991459396,2022,56,1,False
2022-03-30,0.030033913742710843,0.042975121526742176,0.0269151291994757,0.03330805482297624,2022,57,1,True
2022-03-31,0.003878895378531049,-0.041877720452472754,-0.008662983749655784,-0.015553936274532498,2022,58,1,False
2022-04-01,0.05258727841115244,0.02614453575463413,0.015650819059123366,0.031460877741636646,2022,59,1,False
2022-04-06,0.014346955750138082,0.036228957465564926,0.015718820663888765,0.022098244626530594,2022,60,1,False
2022-04-07,0.009427800854991529,0.0043082714625596085,-0.007133252768793678,0.0022009398495858195,2022,61,2,True
2022-04-08,0.015318078040735811,0.014752670009697426,0.009869651286962622,0.013313466445798618,2022,62,2,True
2022-04-11,0.06061188102377462,0.01059830750696389,0.020060198133813826,0.030423462221517445,2022,63,2,True
2022-04-12,0.0050554104421060946,0.006234493207499591,0.017368945616621355,0.009552949755409013,2022,64,2,True
2022-04-13,-0.051859647916011116,-0.049173544123256106,-0.05812683998759435,-0.05305334400895386,2022,65,2,True
2022-04-14,0.11435838374056309,0.11016408921155002,0.15109675613211784,0.12520640969474364,2022,66,2,True
2022-04-15,0.0966707807579575,0.07861383858130339,0.09349554159814158,0.08959338697913415,2022,67,2,True
2022-04-18,0.04689351360440161,-0.0024475924200842644,0.0485182299842738,0.03098805038953038,2022,68,2,False
2022-04-19,0.027556897951962065,0.05105135634036138,0.035010581567191564,0.037872945286505005,2022,69,2,False
2022-04-20,0.002553376850540258,0.02335665518247466,0.037294631655064456,0.021068221229359793,2022,70,2,False
2022-04-21,0.07055601614713734,0.08179836447369371,0.08876465317981937,0.08037301126688347,2022,71,2,True
2022-04-22,-0.002717010613938661,0.017518449691076035,0.015365000907531016,0.010055479994889463,2022,72,2,True
2022-04-25,0.1607750795059927,0.13953842622474874,0.17190968418541705,0.15740772997205285,2022,73,2,True
2022-04-26,0.0453695884740964,0.013959536424373987,0.030393901749260446,0.029907675549243614,2022,74,2,True
2022-04-27,0.04724544772181669,0.04048187451872866,0.05423139311785318,0.04731957178613285,2022,75,2,True
2022-04-28,0.04605787687080019,0.06878003421667689,0.06787199622230562,0.06090330243659423,2022,76,2,True
2022-04-29,0.08669929715029447,0.09202958144147462,0.10798230202592753,0.0955703935392322,2022,77,2,True
2022-05-05,0.07008103913897891,0.0590930944663953,0.06786784033683779,0.06568065798073734,2022,78,2,True
2022-05-06,0.07197479884151059,0.05241560318736057,0.07035085397510633,0.06491375200132583,2022,79,2,False
2022-05-09,0.04589994967192041,0.07744178442715262,0.0600239481562636,0.06112189408511221,2022,80,2,True
2022-05-10,0.038670700834048374,0.06647911354023597,0.05525386598267579,0.05346789345232004,2022,81,2,True
2022-05-11,0.09603967842774688,0.10291180019809898,0.10351482021027529,0.10082209961204038,2022,82,2,False
2022-05-12,0.05191497318234354,0.0874995183667252,0.06693704216151727,0.06878384457019533,2022,83,2,True
2022-05-13,0.05637731396347927,0.06516712841606559,0.05225965397321827,0.05793469878425437,2022,84,2,False
2022-05-16,0.027957386363002885,0.03346598211554694,0.03641138832969802,0.032611585602749286,2022,85,2,True
2022-05-17,0.13329263517939785,0.13917453974097163,0.12808423846646408,0.13351713779561117,2022,86,2,False
2022-05-18,0.08371171024965915,0.06756991819997618,0.05728455735335675,0.06952206193433069,2022,87,2,False
2022-05-19,-0.022733848238267098,0.014768077185561442,-0.011515893672746979,-0.006493888241817545,2022,88,2,False
2022-05-20,0.05160983922927315,0.04693987505954602,0.04564281771843265,0.04806417733575061,2022,89,2,False
2022-05-23,0.024277054664175898,0.05643103267123698,0.018417074911417777,0.03304172074894355,2022,90,2,False
